time,x,y,z,dx,dy,dz
4.27,-6.99828876466684,-5.88381316384085,26.75544846795,11.1356166166917,-2.81032643686643,-30.137428047078
4.28,-6.89391173905294,-5.92163947802788,26.4558012937541,9.7159220062441,-4.70869106047266,-29.6939315205639
4.29,-6.80397032454196,-5.9779869850503,26.1615698375388,8.25510342582811,-6.51597994014193,-29.0604310092419
4.3,-6.72880967053638,-6.05195907683071,25.8745926735693,6.76558735275214,-8.23555086018309,-28.2483303203201
4.31,-6.66865857748691,-6.14269800225396,25.5966032311324,5.2582568094922,-9.87151934812828,-27.2672716960641
4.32,-6.62364453434654,-6.24938946379328,25.329247239648,3.74255230786477,-11.4282014886788,-26.1251993411076
4.33,-6.59380753132962,-6.37126203202753,25.0740992443102,2.22661825266113,-12.9096052340731,-24.8284812851692
4.34,-6.57911216929332,-6.50758156847474,24.8326776139446,0.717476513062893,-14.319002560514,-23.3820709336346
4.35,-6.57945800106836,-6.65764208323782,24.6064578256375,-0.778782470917809,-15.6585725733452,-21.7896982068009
4.36,-6.59468781871167,-6.82075301994165,24.3968836498086,-2.25678944969299,-16.9290687991294,-20.0540953118673
4.37,-6.62459379006222,-6.9962234592204,24.2053759194002,-3.71167695086924,-18.1295394418318,-18.1772497464598
4.38,-6.66892135772906,-7.18334380877828,24.0333386548794,-5.13885755650667,-19.2570985094643,-16.1606837992899
4.39,-6.72737094119235,-7.38136542940968,23.8821622434144,-6.53380458286146,-20.3067353430843,-14.0057655878947
4.4,-6.79959744938629,-7.58947851563997,23.7532233431215,-7.89183618511066,-21.2711614820868,-11.7140548730085
4.41,-6.88520766489457,-7.80678865905143,23.6478811459542,-9.20790764772971,-22.1407017028956,-9.28768733640626
4.42,-6.98375560234088,-8.03229254969788,23.5674695963934,-10.4764155555075,-22.9032348186843,-6.72980079235718
4.43,-7.09473597600471,-8.2648533554251,23.5132851301071,-11.6910176815279,-23.5441942128978,-4.04500538500523
4.44,-7.21757595597144,-8.50317643395584,23.4865694886933,-12.8444734896782,-24.0466414763388,-1.23989720322048
4.45,-7.35162544579828,-8.74578618495189,23.4884871860427,-13.928511045129,-24.3914299038831,1.67638892116621
4.46,-7.49614617687402,-8.9910050320335,23.5200972671166,-14.933727260139,-24.5574772777549,4.69159677959939
4.47,-7.65029999100106,-9.23693573050697,23.5823191216346,-15.849529733818,-24.5221690514381,7.78975210816348
4.48,-7.81313677155038,-9.48144841306227,23.6758923092799,-16.6641296648002,-24.2619131698466,10.9505755213083
4.49,-7.98358258429707,-9.72217399390392,23.8013306320608,-17.3645963590591,-23.7528656262682,14.1489377188939
4.5,-8.16042869873156,-9.95650572558762,23.9588710636578,-17.936984451815,-22.9718407513644,17.3543993445971
4.51,-8.34232227333336,-10.1816108089312,24.1484186189528,-18.3665448399719,-21.8974114398141,20.5308875111304
4.52,-8.527759595531,-10.3944539543839,24.3694888138804,-18.6380291766873,-20.5111914669944,23.6365694027666
4.53,-8.71508285686712,-10.5918346382711,24.6211500070081,-18.7360952802476,-18.7992744775972,26.6239889587889
4.54,-8.90248150113595,-10.7704394439359,24.9019685930561,-18.6458166664845,-16.753782410069,29.440533526673
4.55,-9.0879991901968,-10.9269102864725,25.2099606775415,-18.353293421772,-14.3744510891246,32.0292914584687
4.56,-9.26954736957139,-11.0579284657184,25.5425544222255,-17.8463537502538,-11.6701544692628,34.3303469125741
4.57,-9.44492626520188,-11.1603133758577,25.896567615793,-17.1153259585897,-8.66024460516482,36.2825331353257
4.58,-9.61185388874318,-11.2311333578216,26.268205084932,-16.1538499085268,-5.37556590747211,37.8256297923392
4.59,-9.76800326337241,-11.2678246940072,26.6530802116398,-14.9596859673865,-1.85899431045917,38.90294465201
4.6,-9.91104760809092,-11.2683132440308,27.0462639779722,-13.5354687686153,1.83464776130644,39.4641712500496
4.61,-10.0387126387447,-11.231131738781,27.4423636366408,-11.8893514051709,5.63938983048103,39.4683582340237
4.62,-10.1488346361943,-11.1555254474212,27.8356311426527,-10.035461325506,9.47972296232485,38.8867386823092
4.63,-10.2394218652548,-11.0415372795345,28.220098410287,-7.9941306479478,13.273024384636,37.705267541796
4.64,-10.3087172491533,-10.8900649597285,28.5897364934886,-5.79184575293996,16.9326942089236,35.926590525793
4.65,-10.3552587803136,-10.7028833953561,28.9386302208029,-3.4608583720532,20.371858207375,33.5711312041697
4.66,-10.3779344165944,-10.482627795581,29.261159117572,-1.03848007215632,23.5073432936697,30.6772163642492
4.67,-10.3760283817568,-10.2327365294827,29.5521745480878,1.43397377817859,26.2638216671962,27.3001062237097
4.68,-10.3492549410308,-9.95735136223707,29.8071612420462,3.91249279403913,28.577498107,23.5099518226471
4.69,-10.297778525876,-9.66118656734267,30.0223735845408,6.35185211401271,30.3990716635368,19.3888403340391
4.7,-10.2222178987505,-9.34936992896632,30.194938048727,8.70723072665412,31.696008823929,15.0270905328623
4.71,-10.1236339113429,-9.0272663908641,30.322915395198,10.935841482834,32.4536989252766,10.5191155196995
4.72,-10.0035010690938,-8.70029595046081,30.405320359121,12.9984534535538,32.6754172810469,5.95919852550701
4.73,-9.86366484227182,-8.37375804524315,30.4420993657082,14.8607044295957,32.3811941894787,1.4375024183218
4.74,-9.70628698050193,-8.05267206667122,30.4340704074874,16.4941350564157,31.6057366152323,-2.96336852276002
